loanId,borrowerId,loanType,originationDate,maturityDate,originalPrincipal,currentBalance,interestRate,termMonths,borrowerState,loanPurpose,creditGrade,employmentLength,incomeBand,paymentStatus,daysPastDue,servicerName,lastPaymentDate
LN-10154,BRW-90154,Personal,2021-12-14,2028-07-03,28270,18583,9.55,36,TX,Major Purchase,A,4-7 years,200k+,Fully Paid,0,Cenlar,2025-10-06
LN-10155,BRW-90155,Personal,2020-12-25,2026-09-12,26724,20671,10.40,36,PA,Major Purchase,A,10+ years,0-50k,Current,0,LoanCare,2023-03-20
LN-10156,BRW-90156,Personal,2020-12-31,2028-02-11,5832,3919,7.57,60,OH,Home Improvement,B,1-3 years,50k-100k,Current,0,Mr. Cooper,2023-12-09
LN-10157,BRW-90157,Personal,2020-01-25,2026-02-27,29999,-5000,14.61,36,NC,Credit Card Refinancing,D,4-7 years,100k-150k,Charged Off,0,Wells Fargo,2023-05-19
LN-10158,BRW-90158,Personal,2020-03-19,2023-04-13,32646,23542,18.68,36,TX,Home Improvement,C,8-10 years,200k+,Late (31-120 days),100,Mr. Cooper,2026-08-15
LN-10159,BRW-90159,Personal,2020-02-10,2025-05-18,38747,34804,9.02,60,OH,Home Improvement,E,8-10 years,0-50k,Late (31-120 days),32,Wells Fargo,2022-10-08
LN-10160,BRW-90160,Personal,2019-03-23,2028-02-17,16081,13987,14.56,36,GA,Debt Consolidation,A,4-7 years,200k+,Fully Paid,0,LoanCare,2023-08-16
LN-10161,BRW-90161,Personal,2020-11-05,2027-03-14,13795,11836,10.61,60,FL,Major Purchase,B,< 1 year,50k-100k,Fully Paid,0,Cenlar,2025-10-02
LN-10162,BRW-90162,Personal,2022-12-11,2025-01-08,12120,11789,6.68,60,OH,Debt Consolidation,C,8-10 years,50k-100k,In Grace Period,0,PennyMac,2024-07-23
LN-10163,BRW-90163,Personal,2019-07-05,2026-01-21,18583,11588,5.52,60,MI,Major Purchase,E,8-10 years,200k+,Fully Paid,0,Mr. Cooper,2023-12-10
LN-10164,BRW-90164,Personal,2018-06-04,2027-03-21,27479,19047,11.00,36,PA,Medical Expenses,A,8-10 years,50k-100k,Fully Paid,0,LoanCare,2025-01-07
LN-10165,BRW-90165,Personal,2019-09-30,2027-03-24,8290,6763,5.93,60,GA,Medical Expenses,E,10+ years,150k-200k,Current,0,PennyMac,2025-10-17
LN-10166,BRW-90166,Personal,2018-03-14,2027-07-30,37247,36907,8.95,36,TX,Credit Card Refinancing,A,4-7 years,50k-100k,Charged Off,0,PennyMac,2025-10-30
LN-10167,BRW-90167,Personal,2022-02-15,2023-10-17,35577,32427,6.98,36,TX,Home Improvement,E,1-3 years,200k+,Current,0,Wells Fargo,2022-09-12
LN-10168,BRW-90168,Personal,2019-02-27,2023-03-26,25080,24485,15.74,60,OH,Credit Card Refinancing,B,1-3 years,0-50k,Current,0,PennyMac,2024-01-05
LN-10169,BRW-90169,Personal,2021-06-04,2024-05-26,22843,13169,11.03,60,NC,Credit Card Refinancing,D,1-3 years,100k-150k,Current,0,LoanCare,2024-12-17
LN-10170,BRW-90170,Personal,2021-11-02,2023-12-30,22811,18377,13.82,36,OH,Major Purchase,E,< 1 year,0-50k,Late (31-120 days),43,PennyMac,2024-04-13
LN-10171,BRW-90171,Personal,2018-11-03,2025-06-12,5287,3647,18.59,36,GA,Major Purchase,D,10+ years,0-50k,Late (31-120 days),99,Mr. Cooper,2025-06-30
LN-10172,BRW-90172,Personal,2019-04-01,2023-04-15,33755,32904,12.40,36,CA,Medical Expenses,C,8-10 years,150k-200k,In Grace Period,0,Mr. Cooper,2024-05-08
LN-10173,BRW-90173,Personal,2018-08-21,2027-01-01,34576,33263,14.25,36,MI,Home Improvement,D,10+ years,150k-200k,In Grace Period,0,Wells Fargo,2026-03-25
LN-10174,BRW-90174,Personal,2019-10-22,2024-08-02,33759,27392,12.04,36,GA,Medical Expenses,C,10+ years,200k+,Charged Off,0,Mr. Cooper,2022-09-11
LN-10175,BRW-90175,Personal,2021-07-19,2028-05-24,29484,24355,7.84,36,FL,Debt Consolidation,E,10+ years,0-50k,Fully Paid,0,LoanCare,2025-04-22
LN-10176,BRW-90176,Personal,2019-03-12,2025-03-23,8090,4768,17.83,60,TX,Home Improvement,C,1-3 years,100k-150k,Late (31-120 days),114,Cenlar,2024-03-02
LN-10177,BRW-90177,Personal,2018-07-22,2023-03-05,16226,12330,18.39,60,GA,Home Improvement,D,< 1 year,150k-200k,In Grace Period,0,LoanCare,2026-05-05
LN-10178,BRW-90178,Personal,2018-01-28,2023-08-05,31983,19189,13.12,60,,Credit Card Refinancing,D,< 1 year,150k-200k,Late (31-120 days),89,Cenlar,2023-03-02
LN-10179,BRW-90179,Personal,2018-11-26,2024-03-31,21073,17744,15.80,60,PA,Credit Card Refinancing,C,10+ years,200k+,Charged Off,0,Cenlar,2022-09-19
LN-10180,BRW-90180,Personal,2019-07-27,2025-03-17,10488,8090,10.93,60,NC,Major Purchase,A,4-7 years,100k-150k,In Grace Period,0,Cenlar,2025-05-08
LN-10181,BRW-90181,Personal,2018-07-13,2027-02-03,28012,17572,8.83,60,GA,Medical Expenses,D,1-3 years,200k+,Fully Paid,0,Cenlar,2025-05-19
LN-10182,BRW-90182,Personal,2020-03-17,2024-10-09,27635,20105,18.10,60,GA,Credit Card Refinancing,A,10+ years,100k-150k,InvalidStatusString,0,Mr. Cooper,2022-12-21
LN-10183,BRW-90183,Personal,2020-12-18,2023-05-07,26240,21495,5.74,36,GA,Medical Expenses,A,< 1 year,200k+,Late (31-120 days),60,Cenlar,2022-02-11
LN-10184,BRW-90184,Personal,2020-06-01,2028-01-28,24971,21541,7.99,36,FL,Debt Consolidation,B,10+ years,150k-200k,Late (31-120 days),48,LoanCare,2023-02-15
LN-10185,BRW-90185,Personal,2022-03-10,2027-05-04,40840,30276,9.63,60,GA,Debt Consolidation,A,8-10 years,50k-100k,Late (31-120 days),70,LoanCare,2026-03-14
LN-10186,BRW-90186,Personal,2018-05-08,2025-05-03,32473,31202,7.89,60,TX,Debt Consolidation,B,< 1 year,50k-100k,Late (31-120 days),78,LoanCare,2024-09-23
LN-10187,BRW-90187,Personal,2021-05-09,2027-02-17,19109,13093,14.45,36,NC,Credit Card Refinancing,D,8-10 years,200k+,Current,0,Wells Fargo,2025-09-18
LN-10188,BRW-90188,Personal,2022-05-24,2025-04-20,32391,29327,18.52,60,IL,Major Purchase,C,1-3 years,0-50k,Current,0,Wells Fargo,2025-06-27
LN-10189,BRW-90189,Personal,2019-11-09,2028-08-10,33053,26297,5.12,36,MI,Credit Card Refinancing,B,1-3 years,100k-150k,Fully Paid,0,Mr. Cooper,2024-11-02
LN-10190,BRW-90190,Personal,2020-04-30,2025-09-14,16723,10777,11.12,36,GA,Credit Card Refinancing,D,8-10 years,200k+,Current,0,Cenlar,2024-10-16
LN-10191,BRW-90191,Personal,2020-07-31,2028-06-04,13314,10843,15.69,60,NY,Medical Expenses,C,10+ years,0-50k,Fully Paid,0,Mr. Cooper,2026-09-13
LN-10192,BRW-90192,Personal,2021-01-29,2027-06-13,13196,10103,17.77,60,GA,Medical Expenses,D,10+ years,50k-100k,Charged Off,0,Cenlar,2022-05-07
LN-10193,BRW-90193,Personal,2021-07-10,2024-03-08,17063,16398,7.53,36,NC,Debt Consolidation,E,1-3 years,0-50k,Late (31-120 days),42,LoanCare,2025-06-06
LN-10194,BRW-90194,Personal,2018-02-27,2028-08-24,10931,8133,5.19,36,TX,Credit Card Refinancing,E,1-3 years,150k-200k,In Grace Period,0,Cenlar,2024-08-02
LN-10195,BRW-90195,Personal,2021-05-30,2028-10-26,31930,19401,10.83,36,FL,Home Improvement,C,10+ years,150k-200k,Current,0,Mr. Cooper,2023-04-06
LN-10196,BRW-90196,Personal,2022-05-04,2028-01-07,39805,26044,16.67,36,OH,Home Improvement,E,8-10 years,50k-100k,Fully Paid,0,Mr. Cooper,2022-05-07
LN-10197,BRW-90197,Personal,2018-12-07,2023-12-08,26228,20677,19.85,60,MI,Home Improvement,B,8-10 years,100k-150k,In Grace Period,0,Mr. Cooper,2026-03-20
LN-10198,BRW-90198,Personal,2020-11-27,2027-01-07,7394,3817,17.00,36,OH,Medical Expenses,D,10+ years,50k-100k,In Grace Period,0,Mr. Cooper,2025-12-13
LN-10199,BRW-90199,Personal,2020-09-27,2027-12-17,42693,27710,12.83,36,GA,Debt Consolidation,A,1-3 years,0-50k,Late (31-120 days),68,Cenlar,2022-12-01
LN-10200,BRW-90200,Personal,2022-07-10,2024-11-14,39053,24911,6.73,60,NY,Medical Expenses,E,1-3 years,50k-100k,In Grace Period,0,LoanCare,2026-08-26
LN-10201,BRW-90201,Personal,2020-01-02,2023-08-11,20903,20033,13.83,60,GA,Debt Consolidation,A,1-3 years,0-50k,In Grace Period,0,LoanCare,2026-07-08
LN-10202,BRW-90202,Personal,2022-06-28,2026-01-19,5584,5107,8.84,36,CA,Major Purchase,E,< 1 year,0-50k,Current,0,Mr. Cooper,2023-02-16
LN-10203,BRW-90203,Personal,2018-11-11,2024-08-17,25050,15885,11.76,60,TX,Home Improvement,C,4-7 years,0-50k,In Grace Period,0,Wells Fargo,2026-04-15
LN-10204,BRW-90204,Personal,2022-10-21,2028-01-07,27478,18246,9.54,60,IL,Credit Card Refinancing,D,10+ years,0-50k,Fully Paid,0,Wells Fargo,2026-03-27
LN-10205,BRW-90205,Personal,2020-08-13,2024-10-03,42961,41209,11.39,60,FL,Major Purchase,A,< 1 year,100k-150k,Current,0,Wells Fargo,2025-06-21
LN-10206,BRW-90206,Personal,2018-01-20,2026-04-24,10657,6060,15.01,36,MI,Major Purchase,D,10+ years,0-50k,Fully Paid,0,Cenlar,2023-06-23
LN-10207,BRW-90207,Personal,2018-09-02,2023-01-05,15148,8146,45,36,PA,Home Improvement,A,10+ years,0-50k,Current,0,LoanCare,2022-10-21
LN-10208,BRW-90208,Personal,2018-10-15,2025-06-12,23199,12040,6.24,36,IL,Credit Card Refinancing,B,10+ years,200k+,Late (31-120 days),115,Mr. Cooper,2022-12-18
LN-10209,BRW-90209,Personal,2019-01-26,2024-10-04,35979,23280,8.18,60,PA,Medical Expenses,B,8-10 years,100k-150k,Late (31-120 days),55,Mr. Cooper,2024-03-07
LN-10210,BRW-90210,Personal,2019-02-11,2024-05-23,19996,19621,5.57,60,OH,Home Improvement,A,< 1 year,50k-100k,Charged Off,0,LoanCare,2025-02-18
LN-10211,BRW-90211,Personal,2018-05-19,2028-12-07,10405,8198,15.13,36,GA,Credit Card Refinancing,C,8-10 years,150k-200k,Current,0,PennyMac,2023-01-07
LN-10212,BRW-90212,Personal,2018-08-13,2023-05-04,28995,48995,19.30,60,OH,Credit Card Refinancing,C,< 1 year,0-50k,In Grace Period,0,Wells Fargo,2023-04-18
LN-10213,BRW-90213,Personal,2021-04-23,2024-08-04,38856,19719,16.05,36,OH,Debt Consolidation,A,< 1 year,200k+,In Grace Period,0,Cenlar,2025-09-07
LN-10214,BRW-90214,Personal,2020-11-28,2026-07-31,38574,27801,19.72,36,NC,Home Improvement,E,< 1 year,50k-100k,In Grace Period,0,PennyMac,2025-09-14
LN-10215,BRW-90215,Personal,2019-04-07,2024-02-12,24606,12652,19.14,36,NC,Credit Card Refinancing,E,10+ years,50k-100k,Late (31-120 days),97,Mr. Cooper,2025-09-18
LN-10216,BRW-90216,Personal,2019-11-18,2027-03-26,31822,25926,19.49,36,MI,Home Improvement,A,< 1 year,50k-100k,In Grace Period,0,LoanCare,2026-05-31
LN-10217,BRW-90217,Personal,2022-07-02,2024-07-23,33106,20011,8.29,60,CA,Debt Consolidation,B,10+ years,200k+,Current,0,Cenlar,2025-01-01
LN-10218,BRW-90218,Personal,2022-06-28,2024-09-24,13941,8887,12.96,36,PA,Medical Expenses,D,10+ years,0-50k,Charged Off,0,Wells Fargo,2025-05-25
LN-10219,BRW-90219,Personal,2019-03-21,2024-10-11,24477,23200,19.47,36,TX,Medical Expenses,E,10+ years,150k-200k,Late (31-120 days),35,Mr. Cooper,2023-01-21
LN-10220,BRW-90220,Personal,2021-09-24,2026-06-20,41658,30767,13.57,60,NC,Debt Consolidation,E,4-7 years,150k-200k,Current,0,PennyMac,2025-06-23
LN-10221,BRW-90221,Personal,2020-09-26,2025-08-14,7599,4222,13.91,60,TX,Medical Expenses,D,8-10 years,0-50k,Current,0,LoanCare,2025-12-07
LN-10222,BRW-90222,Personal,2022-08-29,2023-01-11,7355,6314,9.01,60,FL,Medical Expenses,E,1-3 years,50k-100k,Fully Paid,0,LoanCare,2025-06-19
LN-10223,BRW-90223,Personal,2021-09-10,2025-06-30,41496,25883,18.34,60,GA,Medical Expenses,B,1-3 years,100k-150k,In Grace Period,0,LoanCare,2023-04-05
LN-10224,BRW-90224,Personal,2018-09-27,2026-04-19,34380,32419,10.92,60,MI,Major Purchase,B,10+ years,0-50k,Late (31-120 days),79,PennyMac,2024-04-06
LN-10225,BRW-90225,Personal,2022-01-09,2025-05-16,6548,4457,8.91,36,GA,Home Improvement,A,< 1 year,50k-100k,Current,0,Wells Fargo,2023-02-05
LN-10226,BRW-90226,Personal,2021-03-05,2025-02-03,12267,11471,10.33,36,PA,Debt Consolidation,C,8-10 years,200k+,Fully Paid,0,PennyMac,2024-10-27
LN-10227,BRW-90227,Personal,2020-01-04,2026-10-03,36162,18329,13.64,60,MI,Medical Expenses,C,8-10 years,200k+,Fully Paid,0,LoanCare,2025-08-21
LN-10228,BRW-90228,Personal,2022-04-18,2028-04-16,35222,27786,10.12,60,PA,Debt Consolidation,A,< 1 year,0-50k,Fully Paid,0,Mr. Cooper,2024-04-20
LN-10229,BRW-90229,Personal,2021-03-10,2028-11-12,42752,29294,13.05,60,NC,Home Improvement,D,4-7 years,0-50k,Late (31-120 days),68,PennyMac,2024-12-14
LN-10230,BRW-90230,Personal,2020-06-09,2027-03-11,40449,24039,7.24,36,NY,Major Purchase,D,< 1 year,100k-150k,In Grace Period,0,Mr. Cooper,2026-07-29
LN-10231,BRW-90231,Personal,2021-10-03,2026-01-02,32547,32039,10.37,60,IL,Credit Card Refinancing,D,10+ years,50k-100k,Charged Off,0,LoanCare,2024-03-08
LN-10232,BRW-90232,Personal,2021-03-21,2026-05-13,40665,37764,17.70,60,NY,Credit Card Refinancing,C,4-7 years,150k-200k,Current,0,Cenlar,2022-03-07
LN-10233,BRW-90233,Personal,2022-07-02,2027-11-28,33886,26610,7.51,60,GA,Home Improvement,D,10+ years,200k+,Fully Paid,0,Cenlar,2024-02-04
LN-10234,BRW-90234,Personal,2022-11-13,2023-05-16,10858,6630,5.84,60,NC,Credit Card Refinancing,B,4-7 years,0-50k,Charged Off,0,LoanCare,2024-07-01
LN-10235,BRW-90235,Personal,2022-08-12,2024-06-10,42841,28775,45,60,MI,Debt Consolidation,B,4-7 years,50k-100k,In Grace Period,0,Cenlar,2022-11-16
LN-10236,BRW-90236,Personal,2022-03-18,2023-10-21,35048,32359,14.85,60,PA,Home Improvement,E,10+ years,0-50k,Charged Off,0,Mr. Cooper,2024-11-23
LN-10237,BRW-90237,Personal,2019-09-29,2027-05-09,11781,6592,9.49,36,GA,Medical Expenses,E,< 1 year,50k-100k,Late (31-120 days),115,PennyMac,2024-04-18
LN-10238,BRW-90238,Personal,2019-08-20,2027-11-09,36789,29711,13.05,36,FL,Credit Card Refinancing,C,< 1 year,200k+,Current,0,Mr. Cooper,2026-09-02
LN-10239,BRW-90239,Personal,2021-05-24,2024-10-17,40122,28316,8.76,60,GA,Debt Consolidation,B,8-10 years,100k-150k,Current,0,LoanCare,2023-06-14
LN-10240,BRW-90240,Personal,2021-08-03,2027-09-10,28249,20621,11.06,36,CA,Debt Consolidation,B,10+ years,150k-200k,Late (31-120 days),99,Wells Fargo,2023-06-26
LN-10241,BRW-90241,Personal,2018-12-21,2026-08-15,22386,12760,16.32,60,NC,Major Purchase,B,4-7 years,100k-150k,Charged Off,0,PennyMac,2022-04-24
LN-10242,BRW-90242,Personal,2022-03-12,2023-10-28,39010,34519,5.04,60,GA,Major Purchase,E,8-10 years,100k-150k,Charged Off,0,Cenlar,2023-12-30
LN-10243,BRW-90243,Personal,2019-10-15,2028-11-01,21563,21223,11.64,60,MI,Debt Consolidation,B,8-10 years,200k+,Fully Paid,0,Mr. Cooper,2022-01-05
LN-10244,BRW-90244,Personal,2019-09-16,2023-02-18,19643,19311,19.93,60,NY,Home Improvement,D,< 1 year,50k-100k,Charged Off,0,LoanCare,2022-06-06
LN-10245,BRW-90245,Personal,2019-02-24,2027-06-13,10929,-5000,9.87,60,FL,Home Improvement,C,4-7 years,50k-100k,Current,0,LoanCare,2023-08-19
LN-10246,BRW-90246,Personal,2019-03-09,2024-01-31,35399,32783,16.77,60,NY,Medical Expenses,A,< 1 year,200k+,Current,0,LoanCare,2022-05-21
LN-10247,BRW-90247,Personal,2021-09-08,2024-02-20,12533,8467,9.04,60,NY,Medical Expenses,B,1-3 years,150k-200k,Charged Off,0,Mr. Cooper,2025-01-22
LN-10248,BRW-90248,Personal,2019-08-02,2026-04-01,16248,12568,16.00,36,MI,Medical Expenses,D,< 1 year,0-50k,Fully Paid,0,Mr. Cooper,2022-09-09
LN-10249,BRW-90249,Personal,2020-08-20,2026-01-04,38296,32270,6.44,60,TX,Medical Expenses,A,< 1 year,100k-150k,Current,0,Mr. Cooper,2023-12-21
LN-10250,BRW-90250,Personal,2022-01-30,2025-04-17,20445,17595,18.64,36,NC,Debt Consolidation,C,8-10 years,0-50k,Late (31-120 days),120,LoanCare,2024-12-15
LN-10251,BRW-90251,Personal,2018-09-25,2026-07-08,43340,37648,13.76,60,NC,Medical Expenses,A,10+ years,0-50k,Current,0,Mr. Cooper,2026-09-04
LN-10252,BRW-90252,Personal,2022-11-06,2027-01-17,36212,23353,10.59,36,GA,Debt Consolidation,B,1-3 years,0-50k,Late (31-120 days),88,Mr. Cooper,2023-11-16
LN-10253,BRW-90253,Personal,2018-06-03,2028-01-22,32665,22215,14.62,60,GA,Debt Consolidation,A,1-3 years,0-50k,Late (31-120 days),120,LoanCare,2025-01-26
LN-10254,BRW-90254,Personal,2019-07-17,2024-06-10,5370,3218,5.83,36,MI,Major Purchase,B,8-10 years,200k+,In Grace Period,0,PennyMac,2023-06-20
LN-10255,BRW-90255,Personal,2019-05-01,2023-08-25,21702,13909,13.82,60,TX,Home Improvement,B,10+ years,50k-100k,Fully Paid,0,LoanCare,2023-11-21
LN-10256,BRW-90256,Personal,2019-09-05,2026-11-29,39913,33629,17.88,60,TX,Credit Card Refinancing,A,8-10 years,150k-200k,Late (31-120 days),62,PennyMac,2022-09-17
LN-10257,BRW-90257,Personal,2021-06-11,2027-04-07,6639,3997,15.60,36,NY,Credit Card Refinancing,C,1-3 years,200k+,Fully Paid,0,PennyMac,2026-08-05
LN-10258,BRW-90258,Personal,2020-11-28,2023-04-17,27392,23954,7.51,60,IL,Major Purchase,D,1-3 years,50k-100k,In Grace Period,0,Cenlar,2026-02-22
LN-10259,BRW-90259,Personal,2018-08-27,2025-03-30,6728,3936,5.88,36,CA,Credit Card Refinancing,B,10+ years,200k+,Charged Off,0,Wells Fargo,2024-12-04
LN-10260,BRW-90260,Personal,2019-03-19,2025-03-13,33360,22992,5.03,36,NY,Medical Expenses,A,4-7 years,0-50k,In Grace Period,0,Wells Fargo,2026-03-30
LN-10261,BRW-90261,Personal,2018-03-11,2025-07-27,7753,7665,10.19,60,CA,Credit Card Refinancing,A,< 1 year,200k+,Fully Paid,0,Cenlar,2024-02-08
LN-10262,BRW-90262,Personal,2020-06-11,2025-08-15,27870,19563,15.67,60,GA,Medical Expenses,C,< 1 year,50k-100k,In Grace Period,0,LoanCare,2022-07-03
LN-10263,BRW-90263,Personal,2020-10-15,2028-11-30,14430,11578,17.23,60,NY,Major Purchase,C,8-10 years,50k-100k,Late (31-120 days),69,Wells Fargo,2025-01-24
LN-10264,BRW-90264,Personal,2022-09-28,2026-01-14,19785,16651,6.00,36,NC,Debt Consolidation,E,8-10 years,50k-100k,Fully Paid,0,PennyMac,2023-11-03
LN-10265,BRW-90265,Personal,2019-07-29,2026-08-12,31662,29532,8.32,36,GA,Medical Expenses,C,8-10 years,200k+,Late (31-120 days),35,LoanCare,2025-05-09
LN-10266,BRW-90266,Personal,2019-12-13,2025-08-17,31492,51492,8.20,60,CA,Credit Card Refinancing,D,8-10 years,100k-150k,Current,0,PennyMac,2022-04-17
LN-10267,BRW-90267,Personal,2022-09-14,2025-05-09,16182,13161,19.70,36,GA,Home Improvement,A,4-7 years,0-50k,Current,0,Cenlar,2024-05-16
LN-10268,BRW-90268,Personal,2021-11-02,2025-07-14,14643,9578,17.62,60,GA,Major Purchase,B,4-7 years,150k-200k,Charged Off,0,PennyMac,2023-06-14
LN-10269,BRW-90269,Personal,2020-11-24,2027-08-21,42193,36456,15.62,36,NY,Medical Expenses,C,10+ years,50k-100k,Late (31-120 days),60,Wells Fargo,2025-01-27
LN-10270,BRW-90270,Personal,2022-03-10,2027-06-19,31356,30289,18.03,60,NC,Credit Card Refinancing,A,< 1 year,100k-150k,Charged Off,0,Mr. Cooper,2023-12-27
LN-10271,BRW-90271,Personal,2022-08-15,2028-05-11,40965,30705,8.84,36,FL,Credit Card Refinancing,C,< 1 year,150k-200k,Late (31-120 days),69,PennyMac,2023-04-17
LN-10272,BRW-90272,Personal,2018-12-07,2024-09-08,19493,39493,13.59,36,MI,Credit Card Refinancing,B,4-7 years,100k-150k,Fully Paid,0,Mr. Cooper,2022-02-12
LN-10273,BRW-90273,Personal,2021-02-16,2027-10-26,15126,11132,11.57,36,GA,Major Purchase,D,10+ years,200k+,In Grace Period,0,LoanCare,2022-03-03
LN-10274,BRW-90274,Personal,2020-10-08,2024-08-10,27815,21650,11.79,36,PA,Medical Expenses,E,4-7 years,100k-150k,In Grace Period,0,LoanCare,2024-02-19
LN-10275,BRW-90275,Personal,2021-09-21,2026-09-22,20902,19131,12.64,36,CA,Medical Expenses,E,10+ years,200k+,In Grace Period,0,PennyMac,2026-03-04
LN-10276,BRW-90276,Personal,2018-12-30,2024-09-06,8031,8016,8.57,60,NY,Credit Card Refinancing,A,10+ years,50k-100k,Fully Paid,0,PennyMac,2026-02-12
LN-10277,BRW-90277,Personal,2018-10-27,2026-08-21,5996,4094,17.02,36,NY,Medical Expenses,A,1-3 years,100k-150k,Current,0,Wells Fargo,2024-02-05
LN-10278,BRW-90278,Personal,2018-10-08,2027-11-22,37973,29549,7.06,60,CA,Debt Consolidation,D,< 1 year,100k-150k,In Grace Period,0,LoanCare,2026-07-06
LN-10279,BRW-90279,Personal,2020-06-05,2026-02-03,40674,29377,17.17,36,GA,Debt Consolidation,A,< 1 year,0-50k,Current,0,LoanCare,2025-02-20
LN-10280,BRW-90280,Personal,2018-06-15,2028-09-20,9066,6442,9.83,60,CA,Medical Expenses,E,4-7 years,0-50k,Charged Off,0,PennyMac,2024-09-21
LN-10281,BRW-90281,Personal,2020-07-20,2027-06-05,25491,16861,16.63,36,CA,Credit Card Refinancing,E,8-10 years,100k-150k,Charged Off,0,LoanCare,2025-01-01
LN-10282,BRW-90282,Personal,2018-05-13,2025-07-30,21565,13161,7.34,60,MI,Home Improvement,A,10+ years,50k-100k,Current,0,Wells Fargo,2026-05-12
LN-10283,BRW-90283,Personal,2020-04-11,2028-10-29,26876,13689,6.55,36,FL,Major Purchase,B,8-10 years,150k-200k,Charged Off,0,LoanCare,2025-09-11
LN-10284,BRW-90284,Personal,2021-07-14,2026-09-12,14244,10192,11.82,36,NC,Major Purchase,C,1-3 years,50k-100k,Current,0,Wells Fargo,2024-01-16
LN-10285,BRW-90285,Personal,2020-04-11,2028-07-16,17475,9669,10.29,60,GA,Major Purchase,B,1-3 years,150k-200k,In Grace Period,0,Cenlar,2026-09-14
LN-10286,BRW-90286,Personal,2019-12-02,2023-02-12,23367,20018,11.59,36,FL,Major Purchase,A,1-3 years,200k+,Current,0,LoanCare,2022-02-28
LN-10287,BRW-90287,Personal,2022-03-10,2027-04-21,43695,63695,13.51,36,MI,Home Improvement,E,10+ years,0-50k,Late (31-120 days),104,Mr. Cooper,2026-03-18
LN-10288,BRW-90288,Personal,2020-12-27,2027-12-07,42079,34217,18.61,60,OH,Home Improvement,A,4-7 years,50k-100k,Charged Off,0,LoanCare,2024-02-27
LN-10289,BRW-90289,Personal,2021-12-12,2025-01-06,12128,11355,16.19,36,GA,Home Improvement,A,8-10 years,200k+,Late (31-120 days),113,Cenlar,2024-05-30
LN-10290,BRW-90290,Personal,2019-02-09,2026-01-19,44995,31542,8.29,36,OH,Credit Card Refinancing,D,4-7 years,100k-150k,Current,0,Mr. Cooper,2026-08-26
LN-10291,BRW-90291,Personal,2022-07-11,2026-05-24,44390,33287,19.49,36,NY,Major Purchase,E,4-7 years,150k-200k,Fully Paid,0,LoanCare,2022-04-30
LN-10292,BRW-90292,Personal,2021-12-01,2023-10-21,38506,35415,11.90,36,PA,Medical Expenses,D,8-10 years,200k+,Late (31-120 days),91,LoanCare,2022-08-09
LN-10293,BRW-90293,Personal,2021-09-25,2025-11-27,30000,27041,10.99,60,PA,Medical Expenses,D,10+ years,0-50k,Charged Off,0,Cenlar,2022-06-04
LN-10294,BRW-90294,Personal,2019-05-14,2023-04-23,11623,11574,9.85,36,IL,Medical Expenses,D,8-10 years,200k+,Charged Off,0,Mr. Cooper,2024-01-21
LN-10295,BRW-90295,Personal,2019-04-05,2028-07-18,42016,21518,6.46,60,OH,Major Purchase,D,1-3 years,0-50k,Current,0,PennyMac,2025-01-22
LN-10296,BRW-90296,Personal,2021-03-18,2025-05-14,24348,18273,18.83,60,NC,Debt Consolidation,B,8-10 years,100k-150k,Current,0,Wells Fargo,2025-01-03
LN-10297,BRW-90297,Personal,2018-08-13,2026-03-09,29080,17614,7.30,36,NC,Medical Expenses,E,1-3 years,200k+,Charged Off,0,LoanCare,2025-01-11
LN-10298,BRW-90298,Personal,2021-08-02,2024-01-25,19810,18674,13.59,60,CA,Major Purchase,C,8-10 years,50k-100k,Current,0,Cenlar,2025-10-15
LN-10299,BRW-90299,Personal,2021-07-10,2028-04-16,35880,32261,9.88,36,GA,Debt Consolidation,E,8-10 years,200k+,Late (31-120 days),53,Mr. Cooper,2022-10-03
LN-10300,BRW-90300,Personal,2019-02-26,2027-01-14,32831,18369,6.84,60,GA,Major Purchase,D,8-10 years,100k-150k,Late (31-120 days),106,LoanCare,2024-03-09
LN-10301,BRW-90301,Personal,2021-04-27,2026-05-05,11155,5754,16.45,60,PA,Credit Card Refinancing,C,1-3 years,200k+,Charged Off,0,Wells Fargo,2022-07-18
LN-10302,BRW-90302,Personal,2022-04-23,2027-05-13,20814,15947,19.26,60,CA,Medical Expenses,A,1-3 years,50k-100k,In Grace Period,0,LoanCare,2025-08-29
LN-10303,BRW-90303,Personal,2018-04-27,2026-08-04,21303,15201,10.52,60,IL,Home Improvement,E,8-10 years,150k-200k,Late (31-120 days),42,PennyMac,2025-02-23
LN-10304,BRW-90304,Personal,2022-06-30,2026-04-12,27164,22914,8.05,60,MI,Medical Expenses,A,< 1 year,100k-150k,Fully Paid,0,PennyMac,2025-01-25
LN-10305,BRW-90305,Personal,2018-10-01,2025-07-20,22160,17105,12.77,36,FL,Credit Card Refinancing,C,8-10 years,50k-100k,In Grace Period,0,Mr. Cooper,2024-06-07
LN-10306,BRW-90306,Personal,2018-11-25,2023-06-12,19158,17146,7.84,36,MI,Debt Consolidation,D,8-10 years,200k+,In Grace Period,0,PennyMac,2025-12-31
LN-10307,BRW-90307,Personal,2019-10-24,2026-12-20,15834,15068,12.20,36,MI,Major Purchase,A,< 1 year,100k-150k,In Grace Period,0,Wells Fargo,2025-11-22
